Bland,Virginia,379
Bleckley,Georgia,1738
Bledsoe,Tennessee,731
Blount,Alabama,3021
Blount,Tennessee,7610
Blue Earth,Minnesota,5891
Boise,Idaho,318
Bolivar,Mississippi,2741
Bollinger,Missouri,792
Bon Homme,South Dakota,422
Bond,Illinois,1264
Bonner,Idaho,2311
Bonneville,Idaho,7516
Boone,Arkansas,2615
Boone,Illinois,4247
Boone,Indiana,4097
Boone,Iowa,1575
Boone,Kentucky,8197
Boone,Missouri,14877
Boone,Nebraska,382
Boone,West Virginia,1490
Borden,Texas,25
Bosque,Texas,1252
Bossier,Louisiana,7591
Botetourt,Virginia,3361
Bottineau,North Dakota,462
Boulder,Colorado,23974
Boundary,Idaho,740
Bourbon,Kansas,1222
Bourbon,Kentucky,1272
Bowie,Texas,6353
Bowman,North Dakota,194
Box Butte,Nebraska,785
Box Elder,Utah,4007
Boyd,Kentucky,3280
Boyd,Nebraska,140
Boyle,Kentucky,2256
Bracken,Kentucky,656
Bradford,Florida,1450
Bradford,Pennsylvania,4017
Bradley,Arkansas,778
Bradley,Tennessee,6960
Branch,Michigan,3089
Brantley,Georgia,1180
Braxton,West Virginia,781
Brazoria,Texas,23237
Brazos,Texas,23478
Breathitt,Kentucky,1046
Breckinridge,Kentucky,1181
Bremer,Iowa,2169
Brevard,Florida,34526
Brewster,Texas,481
Briscoe,Texas,100
Bristol,Massachusetts,38686
Bristol,Rhode Island,4135
Bristol (city),Virginia,1865
Broadwater,Montana,308
Bronx,New York,115106
Brooke,West Virginia,1475
Brookings,South Dakota,3630
Brooks,Georgia,892
Brooks,Texas,580
Broome,New York,16041
Broward,Florida,114200
Brown,Illinois,398
Brown,Indiana,894
Brown,Kansas,687
Brown,Minnesota,1868
Brown,Nebraska,184
Brown,Ohio,2748
Brown,South Dakota,2435
Brown,Texas,2743
Brown,Wisconsin,17646
Brule,South Dakota,371
Brunswick,North Carolina,5272
Brunswick,Virginia,1141
Bryan,Georgia,2673
Bryan,Oklahoma,3176
Buchanan,Iowa,1487
Buchanan,Missouri,4780
Buchanan,Virginia,1375
Buckingham,Virginia,730
Bucks,Pennsylvania,39316
Buena Vista,Iowa,1742
Buena Vista (city),Virginia,719
Buffalo,Nebraska,3924
Buffalo,South Dakota,177
Buffalo,Wisconsin,942
Bullitt,Kentucky,4075
Bulloch,Georgia,8267
Bullock,Alabama,764
Buncombe,North Carolina,13900
Bureau,Illinois,2304
Burke,Georgia,1590
Burke,North Carolina,6339
Burke,North Dakota,104
Burleigh,North Dakota,5449
Burleson,Texas,1101
Burlington,New Jersey,29854
Burnet,Texas,2535
Burnett,Wisconsin,803
Burt,Nebraska,413
Butler,Alabama,1375
Butler,Iowa,908
Butler,Kansas,5254
Butler,Kentucky,644
Butler,Missouri,2674
Butler,Nebraska,534
Butler,Ohio,28069
Butler,Pennsylvania,13715
Butte,California,17853
Butte,Idaho,229
Butte,South Dakota,696
Butts,Georgia,1758
Cabarrus,North Carolina,12574
Cabell,West Virginia,7390
Cache,Utah,10257
Caddo,Louisiana,17968
Caddo,Oklahoma,2223
Calaveras,California,2880
Calcasieu,Louisiana,14541
Caldwell,Kentucky,839
Caldwell,Louisiana,727
Caldwell,Missouri,675
Caldwell,North Carolina,5460
