POINT_ID,ZIP_CODE,LAT,LONG,POPULATION,CITY,COUNTY,STATE,STATE_ABBREVIATION
346895,92562,33.5476134,-117.3440401,5900,Murrieta,Riverside,California,CA
346896,92028,33.3904774,-117.209427,3574,Fallbrook,San Diego,California,CA
346897,92590,33.4828114,-117.2261261,303,Temecula,Riverside,California,CA
346898,92029,33.0824002,-117.1276407,1049,Escondido,San Diego,California,CA
346900,92025,33.1020048,-117.0804192,3993,Escondido,San Diego,California,CA
346902,92069,33.1707753,-117.1586765,4018,San Marcos,San Diego,California,CA
346903,92026,33.2124439,-117.116098,3564,Escondido,San Diego,California,CA
346904,92027,33.1311558,-116.9769969,4418,Escondido,San Diego,California,CA
346905,92082,33.2535477,-117.0033659,1593,Valley Center,San Diego,California,CA
346906,92059,33.3764674,-117.0661214,156,Pala,San Diego,California,CA
346909,92591,33.5352773,-117.1047908,3181,Temecula,Riverside,California,CA
346910,92061,33.2985039,-116.9247828,166,Pauma Valley,San Diego,California,CA
346911,92592,33.5112281,-117.0423964,6537,Temecula,Riverside,California,CA
346912,91935,32.7219185,-116.7882043,732,Jamul,San Diego,California,CA
346913,91917,32.6088648,-116.7196605,71,Dulzura,San Diego,California,CA
346914,92019,32.776012,-116.880634,3326,El Cajon,San Diego,California,CA
346915,92021,32.838798,-116.8699555,5029,El Cajon,San Diego,California,CA
346916,92040,32.908915,-116.8919751,2987,Lakeside,San Diego,California,CA
346918,91901,32.8085625,-116.7100758,1444,Alpine,San Diego,California,CA
346919,91980,32.5888657,-116.6191721,16,Tecate,San Diego,California,CA
346920,91963,32.6262309,-116.6100196,98,Potrero,San Diego,California,CA
346921,91906,32.6548209,-116.4655414,329,Campo,San Diego,California,CA
346922,91962,32.7351238,-116.4151605,104,Pine Valley,San Diego,California,CA
346923,91916,32.8879886,-116.621354,122,Descanso,San Diego,California,CA
346924,91931,32.8463626,-116.5577292,36,Guatay,San Diego,California,CA
346925,92036,33.0224737,-116.493688,154,Julian,San Diego,California,CA
346926,92065,33.0530056,-116.8506506,2889,Ramona,San Diego,California,CA
346927,92070,33.1470897,-116.7174529,78,Santa Ysabel,San Diego,California,CA
346928,92060,33.3468079,-116.8532154,6,Palomar Mountain,San Diego,California,CA
346929,92536,33.4923912,-116.8379555,243,Aguanga,Riverside,California,CA
346931,92086,33.3232209,-116.66593,62,Warner Springs,San Diego,California,CA
346932,92066,33.2193648,-116.5352471,13,Ranchita,San Diego,California,CA
346933,92539,33.5278668,-116.6476196,318,Anza,Riverside,California,CA
346934,91905,32.6780697,-116.3068506,97,Boulevard,San Diego,California,CA
346935,91934,32.6489918,-116.1525653,45,Jacumba,San Diego,California,CA
346936,92259,32.7377054,-115.9322002,16,Ocotillo,Imperial,California,CA
346937,92004,33.1420766,-116.106046,216,Borrego Springs,San Diego,California,CA
346938,92274,33.4605115,-116.0845889,1828,Thermal,Riverside,California,CA
346941,92254,33.5438351,-115.9939064,1290,Mecca,Riverside,California,CA
346942,92273,32.8172247,-115.7000756,181,Seeley,Imperial,California,CA
346943,92251,32.881449,-115.6754593,1543,Imperial,Imperial,California,CA
346944,92231,32.6875525,-115.5410277,3719,Calexico,Imperial,California,CA
346945,92249,32.725583,-115.4726798,676,Heber,Imperial,California,CA
346946,92243,32.7701971,-115.5985905,4301,El Centro,Imperial,California,CA
346949,92227,32.990121,-115.3587566,2381,Brawley,Imperial,California,CA
346950,92275,33.2920954,-115.8441656,107,Salton City,Imperial,California,CA
346951,92281,33.051757,-115.6087518,213,Westmorland,Imperial,California,CA
346952,92233,33.1728806,-115.5537692,412,Calipatria,Imperial,California,CA
346954,92250,32.7772409,-115.1276414,767,Holtville,Imperial,California,CA
346955,92257,33.2942741,-115.2962266,112,Niland,Imperial,California,CA
346956,92266,33.3450273,-114.9159424,13,Palo Verde,Imperial,California,CA
346957,85336,32.5487572,-114.7887339,84,Gadsden,Yuma,Arizona,AZ
346958,85349,32.508824,-114.743975,2965,San Luis,Yuma,Arizona,AZ
346959,85350,32.5612177,-114.6935475,2020,Somerton,Yuma,Arizona,AZ
346960,85364,32.70226,-114.6580126,6581,Yuma,Yuma,Arizona,AZ
346962,92283,32.8915458,-114.772943,242,Winterhaven,Imperial,California,CA
346964,85367,32.6717154,-114.3955164,693,Yuma,Yuma,Arizona,AZ
346965,85328,33.2526245,-114.6203536,17,Cibola,La Paz,Arizona,AZ
346966,85334,33.5165718,-114.5164071,138,Ehrenberg,La Paz,Arizona,AZ
346968,85356,32.68901,-114.1622139,285,Wellton,Yuma,Arizona,AZ
346969,85352,32.7193777,-113.8394792,38,Tacna,Yuma,Arizona,AZ
346970,85347,32.7975097,-113.7896478,53,Roll,Yuma,Arizona,AZ
346971,85365,33.0964388,-114.1253395,3515,Yuma,Yuma,Arizona,AZ
346972,85333,33.0221035,-113.2835388,72,Dateland,Yuma,Arizona,AZ
346974,85321,32.2377533,-112.6533018,241,Ajo,Pima,Arizona,AZ
346976,85354,33.4303391,-113.0460899,573,Tonopah,Maricopa,Arizona,AZ
346977,85322,33.1591089,-112.8720336,65,Arlington,Maricopa,Arizona,AZ
346979,85337,32.9640322,-112.7043428,250,Gila Bend,Maricopa,Arizona,AZ
346980,85343,33.3374979,-112.6857188,17,Palo Verde,Maricopa,Arizona,AZ
346982,85396,33.5278033,-112.7012685,738,Buckeye,nan,Arizona,AZ
346983,85326,33.2937552,-112.5905142,3782,Buckeye,Maricopa,Arizona,AZ
346985,85338,33.3729747,-112.4108287,3164,Goodyear,Maricopa,Arizona,AZ
346986,85395,33.4786928,-112.3952491,1846,Goodyear,nan,Arizona,AZ
346987,85340,33.5158268,-112.4140406,2083,Litchfield Park,Maricopa,Arizona,AZ
346991,85309,33.5354757,-112.3766729,258,Luke Afb,Maricopa,Arizona,AZ
346992,85323,33.419233,-112.3268664,3550,Avondale,Maricopa,Arizona,AZ
346993,85353,33.4175113,-112.2769735,2586,Tolleson,Maricopa,Arizona,AZ
346994,85392,33.47758,-112.3088888,2962,Avondale,nan,Arizona,AZ
346995,85037,33.4867071,-112.2682581,4189,Phoenix,Maricopa,Arizona,AZ
346996,85307,33.539828,-112.3144513,768,Glendale,Maricopa,Arizona,AZ
346997,85305,33.5317448,-112.2560928,887,Glendale,Maricopa,Arizona,AZ
346999,85033,33.4929692,-112.2097567,5180,Phoenix,Maricopa,Arizona,AZ
347000,85303,33.5326991,-112.2210635,2931,Glendale,Maricopa,Arizona,AZ
347001,85634,32.0344964,-111.9944302,629,Sells,Pima,Arizona,AZ
347003,85601,31.5886754,-111.3147982,19,Arivaca,Pima,Arizona,AZ
347004,85645,31.6862787,-111.1606312,198,Amado,Santa Cruz,Arizona,AZ
