YEAR,STATE_CODE,EXPENSE
2013,1,1213003.721
2013,4,363041.195
2013,5,835377.895
2013,6,2523910.197
2013,8,431038.6575
2013,9,251391.5415
2013,10,27141.95
2013,11,64065.573
2013,12,3655311.688
2013,13,1109728.444
2013,16,144728.43
2013,17,1612559.713
2013,18,367509.945
2013,19,432778.72
2013,20,548672.8885
2013,21,781265.507
2013,22,1132036.813
2013,23,28809.44
2013,24,401761.668
2013,25,323810.663
2013,26,1095488.196
2013,27,1037243.532
2013,28,902146.19
2013,29,1168391.4
2013,30,69554.43
2013,31,398365.88
2013,32,200339.4085
2013,33,65654.71
2013,34,360798.449
2013,35,295392.1575
2013,36,977764.8045
2013,37,438766.02
2013,38,55400.565
2013,39,1654065.54
2013,40,822414.945
2013,41,157439.2325
2013,42,462501.1545
2013,44,24125.64
2013,45,407515.625
2013,46,128478.46
2013,47,1219941.151
2013,48,2276385.623
2013,49,482587.7925
2013,50,37305.84
2013,51,481677.4985
2013,53,405020.5555
2013,54,259610.8185
2013,55,1002640.122
2013,56,51551.5
