AL,2,62075.13
AL,4,50392.68
AL,6,53524.12
AL,9,56123.08
AL,10,77566.45
AL,12,79707.68
AR,2,31736.9
AR,4,45072.17
AR,6,40179.36
AR,9,31820.75
AR,10,61692.93
AR,12,63637.99
AZ,2,17272.97
AZ,4,23544.17
AZ,6,17847.96
AZ,9,17027.53
AZ,10,22339.98
AZ,12,17925.44
CA,2,34834.8
CA,4,89829.61
CA,6,186846.4
CA,9,117656.24
CA,10,212784.52
CA,12,134187.43
CO,2,18583.11
CO,4,16187.34
CO,6,19850.48
CO,9,24131.12
CO,10,32702.15
CO,12,23697.44
CT,2,6153.42
CT,4,14804.66
CT,6,19967.09
CT,9,15337.27
CT,10,15133.82
CT,12,6254.3
DC,2,1370.07
DC,4,1558.7
DC,6,2064.53
DC,9,1661.53
DC,10,1747.85
DC,12,1837.29
DE,2,1027.13
DE,4,1341.6
DE,6,1790.62
DE,9,1755.65
DE,10,1840.02
DE,12,1449.63
FL,2,181983.23
FL,4,223833.48
FL,6,176485.14
FL,9,101678.2
FL,10,163770.23
FL,12,175332.56
GA,2,65748.93
GA,4,46050.68
GA,6,61932.26
GA,9,50725.22
GA,10,63642.54
GA,12,74014.72
IA,2,17115.02
IA,4,38643.93
IA,6,27272.05
IA,9,14070.29
IA,10,26664.69
IA,12,25481.69
ID,2,6074.77
ID,4,7691.19
ID,6,7885.67
ID,9,5023.33
ID,10,11939.46
ID,12,12520.43
IL,2,69874.87
IL,4,83474.3
IL,6,120693.69
IL,9,90831.39
IL,10,98584.07
IL,12,81563.56
IN,2,17575.48
IN,4,24837.15
IN,6,30272.71
IN,9,25203.75
IN,10,13008.71
IN,12,23554.05
KS,2,27773.07
KS,4,38346.36
KS,6,31611.19
KS,9,21552.7
KS,10,35098.57
KS,12,35709.18
KY,2,31529.68
KY,4,17582.11
KY,6,44725.59
KY,9,29182.79
KY,10,59631.39
KY,12,62549.76
LA,2,59633.08
LA,4,40516.71
LA,6,50338.73
LA,9,36879.83
LA,10,58528.47
LA,12,75467.47
MA,2,4368.78
MA,4,20261.41
MA,6,31579.34
MA,9,18361.07
MA,10,23314.72
MA,12,10884.51
MD,2,8900.32
MD,4,14695.07
MD,6,21382.53
MD,9,14209.65
MD,10,18798.0
MD,12,12711.01
ME,2,289.38
ME,4,1185.86
ME,6,1709.76
ME,9,1211.08
ME,10,1991.99
ME,12,1214.2
MI,2,38449.71
MI,4,24214.45
MI,6,88021.31
MI,9,45835.27
MI,10,52354.9
MI,12,60317.27
MN,2,34142.68
MN,4,59666.1
MN,6,68616.99
MN,9,42475.29
MN,10,54624.7
MN,12,38045.28
MO,2,63611.08
MO,4,67829.71
MO,6,52513.37
MO,9,45914.57
MO,10,79572.35
MO,12,69162.08
MS,2,50752.26
MS,4,53105.39
MS,6,41494.31
MS,9,32942.39
MS,10,52488.28
MS,12,71825.39
MT,2,1888.25
MT,4,1619.54
MT,6,1563.38
MT,9,1924.78
MT,10,4752.93
MT,12,5166.07
NC,2,18237.7
NC,4,11029.85
NC,6,21490.3
NC,9,21063.64
NC,10,23766.73
NC,12,22480.64
ND,2,2385.5
ND,4,1273.87
ND,6,2636.4
ND,9,1957.54
ND,10,4196.66
ND,12,4428.06
NE,2,13973.96
NE,4,25162.02
NE,6,20536.1
NE,9,15847.0
NE,10,34446.1
NE,12,30374.37
