ID,2015,6,13090.17
IL,2012,9,68196.35
IL,2012,10,106669.73
IL,2012,12,64909.4
IL,2013,2,70611.03
IL,2013,4,80450.29
IL,2013,6,69280.95
IL,2013,9,68172.21
IL,2013,10,100460.14
IL,2013,12,58062.99
IL,2014,2,71611.14
IL,2014,4,85666.06
IL,2014,6,65487.57
IL,2014,9,70517.19
IL,2014,10,97962.33
IL,2014,12,62906.8
IL,2015,2,68069.53
IL,2015,4,79320.13
IL,2015,6,68748.51
IN,2012,9,32338.59
IN,2012,10,22318.45
IN,2012,12,33947.47
IN,2013,2,28920.23
IN,2013,4,30573.31
IN,2013,6,23766.51
IN,2013,9,33391.74
IN,2013,10,20912.55
IN,2013,12,28683.42
IN,2014,2,29011.52
IN,2014,4,28636.5
IN,2014,6,21724.13
IN,2014,9,34040.46
IN,2014,10,1202.24
IN,2014,12,30077.25
IN,2015,2,26823.96
IN,2015,4,34222.02
IN,2015,6,22502.73
KS,2012,9,25824.02
KS,2012,10,40735.57
KS,2012,12,36191.81
KS,2013,2,33100.87
KS,2013,4,38902.12
KS,2013,6,25932.31
KS,2013,9,25473.48
KS,2013,10,40086.17
KS,2013,12,34187.68
KS,2014,2,31597.56
KS,2014,4,37060.68
KS,2014,6,25773.19
KS,2014,9,25749.9
KS,2014,10,39134.34
KS,2014,12,34453.22
KS,2015,2,32390.78
KS,2015,4,36420.46
KS,2015,6,23632.21
KY,2012,9,42920.41
KY,2012,10,54619.64
KY,2012,12,52976.42
KY,2013,2,46590.2
KY,2013,4,23288.81
KY,2013,6,46599.55
KY,2013,9,39467.2
KY,2013,10,52671.95
KY,2013,12,53051.05
KY,2014,2,29352.71
KY,2014,4,28684.44
KY,2014,6,46153.3
KY,2014,9,39990.46
KY,2014,10,52725.84
KY,2014,12,53570.74
KY,2015,2,44314.58
KY,2015,4,29104.51
KY,2015,6,43463.73
LA,2012,9,54844.21
LA,2012,10,73973.12
LA,2012,12,66340.29
LA,2013,2,64431.36
LA,2013,4,64430.0
LA,2013,6,51579.02
LA,2013,9,53576.18
LA,2013,10,71059.83
LA,2013,12,65547.41
LA,2014,2,65253.65
LA,2014,4,69554.65
LA,2014,6,49485.3
LA,2014,9,51797.64
LA,2014,10,70873.0
LA,2014,12,63448.08
LA,2015,2,62646.19
LA,2015,4,44125.2
LA,2015,6,46804.4
MA,2012,9,10959.9
MA,2012,10,28553.71
MA,2012,12,22508.34
MA,2013,4,25056.13
MA,2013,6,24913.5
MA,2013,9,12432.78
MA,2013,10,28264.2
MA,2013,12,22875.2
MA,2014,2,14461.9
MA,2014,4,26291.35
MA,2014,6,27068.25
MA,2014,9,13967.2
MA,2014,10,29082.92
MA,2014,12,23577.3
MA,2015,2,14348.51
MA,2015,4,25462.43
MA,2015,6,25550.15
MD,2012,9,11816.02
MD,2012,10,20558.61
MD,2012,12,18667.53
MD,2013,2,14963.23
MD,2013,4,15853.01
MD,2013,6,18609.05
MD,2013,9,11131.6
MD,2013,10,22201.66
MD,2013,12,16662.38
MD,2014,2,16054.97
MD,2014,4,22722.71
MD,2014,6,18301.18
MD,2014,9,12393.51
MD,2014,10,21117.91
MD,2014,12,19037.45
MD,2015,2,15034.63
MD,2015,4,17629.51
MD,2015,6,16008.56
ME,2012,9,2727.48
ME,2012,10,5316.24
ME,2012,12,4049.74
ME,2013,2,391.0
ME,2013,4,3329.45
ME,2013,6,2955.62
ME,2013,9,2810.44
ME,2013,10,3917.31
ME,2013,12,3548.24
ME,2014,2,2488.8
ME,2014,4,3074.45
ME,2014,6,3244.79
ME,2014,9,2892.04
ME,2014,10,5651.14
ME,2014,12,3454.74
ME,2015,2,2617.66
ME,2015,4,1693.2
ME,2015,6,4156.84
MI,2012,9,47025.4
MI,2012,10,79676.11
MI,2012,12,58020.32
MI,2013,2,52601.91
MI,2013,4,28248.73
MI,2013,6,77241.2
MI,2013,9,44169.74
MI,2013,10,77037.37
MI,2013,12,55141.71
MI,2014,2,50575.68
MI,2014,4,42097.78
MI,2014,6,73575.32
MI,2014,9,41551.74
MI,2014,10,72485.45
MI,2014,12,55838.71
MI,2015,2,47666.81
MI,2015,4,30307.43
MI,2015,6,72355.57
MN,2012,9,38160.75
MN,2012,10,52431.91
MN,2012,12,43383.83
MN,2013,2,42402.25
MN,2013,4,55736.03
MN,2013,6,51504.56
MN,2013,9,37324.35
MN,2013,10,50542.02
MN,2013,12,41881.37
MN,2014,2,40540.41
MN,2014,4,53476.73
MN,2014,6,48180.21
MN,2014,9,35193.23
MN,2014,10,50374.06
MN,2014,12,39989.44
MN,2015,2,40613.85
MN,2015,4,43941.43
MN,2015,6,45487.92
MO,2012,9,64689.42
MO,2012,10,85472.6
MO,2012,12,77296.11
MO,2013,2,75761.01
MO,2013,4,78482.54
MO,2013,6,55292.67
MO,2013,9,62055.27
MO,2013,10,82739.51
MO,2013,12,29944.82
MO,2014,2,72319.87
MO,2014,4,81358.43
MO,2014,6,55951.25
MO,2014,9,57151.96
MO,2014,10,84151.87
MO,2014,12,75008.76
MO,2015,2,73139.61
MO,2015,4,75443.62
MO,2015,6,53218.16
MS,2012,9,38685.03
MS,2012,10,47816.58
MS,2012,12,48432.83
MS,2013,2,48918.69
MS,2013,4,45939.95
MS,2013,6,36319.48
MS,2013,9,37895.72
MS,2013,10,48490.8
MS,2013,12,48571.21
MS,2014,2,43622.51
MS,2014,4,47950.2
MS,2014,6,35879.86
MS,2014,9,37442.5
MS,2014,10,48423.82
MS,2014,12,49308.33
MS,2015,2,49424.78
MS,2015,4,49747.27
MS,2015,6,36554.25
MT,2012,9,6196.16
MT,2012,10,10907.88
MT,2012,12,10503.62
MT,2013,2,7363.38
MT,2013,4,8341.39
MT,2013,6,6946.54
MT,2013,9,4912.66
MT,2013,10,10512.63
MT,2013,12,10322.57
MT,2014,2,6993.29
MT,2014,4,7429.85
MT,2014,6,5853.27
MT,2014,9,4965.7
MT,2014,10,10540.17
MT,2014,12,9372.95
MT,2015,2,6429.23
MT,2015,4,7942.06
MT,2015,6,6437.39
NC,2012,9,39537.92
NC,2012,10,41832.07
NC,2012,12,38197.3
NC,2013,2,37380.28
NC,2013,4,20164.38
NC,2013,6,25515.47
NC,2013,9,34760.58
NC,2013,10,44713.57
NC,2013,12,38220.42
NC,2014,2,36690.59
NC,2014,4,30393.28
NC,2014,6,24745.71
NC,2014,9,33459.23
NC,2014,10,43916.61
NC,2014,12,37578.5
NC,2015,2,35198.67
NC,2015,4,21145.45
NC,2015,6,24714.77
ND,2012,9,5626.66
ND,2012,10,9867.14
ND,2012,12,9124.24
ND,2013,2,7490.37
ND,2013,4,7113.14
ND,2013,6,6400.67
ND,2013,9,5284.11
ND,2013,10,9601.26
ND,2013,12,9208.39
ND,2014,2,7607.67
ND,2014,4,5741.24
ND,2014,6,6193.61
ND,2014,9,5052.06
ND,2014,10,8927.21
ND,2014,12,8459.03
ND,2015,2,7110.76
ND,2015,4,5926.03
ND,2015,6,6047.24
NE,2012,9,22578.55
NE,2012,10,31055.94
NE,2012,12,26098.57
NE,2013,2,20974.09
NE,2013,4,28397.82
NE,2013,6,22671.03
NE,2013,9,22511.06
NE,2013,10,31303.8
NE,2013,12,26044.85
NE,2014,2,21157.69
NE,2014,4,29968.45
NE,2014,6,22669.33
NE,2014,9,21446.01
NE,2014,10,30900.9
NE,2014,12,26110.13
NE,2015,2,21604.28
NE,2015,4,29941.42
NE,2015,6,21602.41
NH,2012,9,5723.9
NH,2012,10,7609.03
NH,2012,12,6523.75
NH,2013,2,108.8
NH,2013,4,7965.18
NH,2013,6,5675.45
NH,2013,9,5443.4
NH,2013,10,7341.28
NH,2013,12,5906.65
NH,2014,2,3962.7
NH,2014,4,7813.03
NH,2014,6,4637.26
NH,2014,9,5525.0
NH,2014,10,7069.62
NH,2014,12,5490.15
NH,2015,2,4009.45
NH,2015,4,7426.96
NH,2015,6,4622.3
NJ,2012,9,15476.8
NJ,2012,10,35587.46
NJ,2012,12,23981.56
NJ,2013,2,848.64
NJ,2013,4,29457.26
NJ,2013,6,29677.58
NJ,2013,9,17345.1
NJ,2013,10,35919.81
NJ,2013,12,16279.71
NJ,2014,2,19436.1
NJ,2014,4,30511.43
NJ,2014,6,28773.86
NJ,2014,9,17492.15
NJ,2014,10,36232.95
NJ,2014,12,22988.08
NJ,2015,2,18297.44
NJ,2015,4,20630.86
NJ,2015,6,30292.47
NM,2012,9,12618.42
NM,2012,10,25979.4
NM,2012,12,20273.69
NM,2013,2,21591.19
NM,2013,4,21974.54
NM,2013,6,12363.42
NM,2013,9,13076.23
NM,2013,10,24880.01
NM,2013,12,20287.46
NM,2014,2,20349.17
NM,2014,4,20753.6
NM,2014,6,12580.85
NM,2014,9,12915.07
NM,2014,10,23953.85
NM,2014,12,20457.63
NM,2015,2,19598.79
NM,2015,4,21189.82
NM,2015,6,12870.7
NV,2012,9,12257.85
NV,2012,10,12182.03
NV,2012,12,13706.25
NV,2013,2,13042.4
NV,2013,4,5081.3
NV,2013,6,5034.72
NV,2013,9,5071.95
NV,2013,10,6248.35
NV,2013,12,6639.35
NV,2014,2,4929.15
NV,2014,4,7015.9
NV,2014,6,6803.4
NV,2014,9,9831.1
NV,2014,10,11682.4
NV,2014,12,12368.35
NV,2015,2,11196.2
NV,2015,4,11055.95
NV,2015,6,9888.9
NY,2012,9,33964.13
NY,2012,10,93647.56
NY,2012,12,58744.35
NY,2013,4,53455.99
NY,2013,6,96047.28
NY,2013,9,35529.15
NY,2013,10,89382.09
NY,2013,12,51772.82
NY,2014,4,64159.53
NY,2014,6,94826.34
NY,2014,9,36988.43
NY,2014,10,89542.23
NY,2014,12,55056.03
NY,2015,4,52737.06
NY,2015,6,89221.78
OH,2012,9,97600.06
OH,2012,12,111892.47
OH,2013,2,100270.76
OH,2013,4,89802.5
OH,2013,6,108388.77
OH,2013,9,96568.16
OH,2013,12,103608.03
OH,2014,2,99740.02
OH,2014,4,108629.15
OH,2014,6,106349.79
OH,2014,9,97521.69
OH,2014,10,152.15
OH,2014,12,111351.53
OH,2015,2,100236.42
OH,2015,4,103497.02
OH,2015,6,107186.87
OK,2012,9,43753.24
OK,2012,10,57017.66
OK,2012,12,53135.2
OK,2013,2,54273.18
OK,2013,4,57071.55
OK,2013,6,37930.91
OK,2013,9,43036.86
OK,2013,10,56579.06
OK,2013,12,50741.77
OK,2014,2,51387.94
OK,2014,4,51323.68
OK,2014,6,37968.14
OK,2014,9,41405.03
OK,2014,10,56549.65
OK,2014,12,52006.06
OK,2015,2,53969.39
OK,2015,4,54690.36
OK,2015,6,37391.5
OR,2012,9,5872.82
OR,2012,10,9006.43
OR,2012,12,10025.92
OR,2013,2,9492.97
OR,2013,4,9930.04
OR,2013,6,7497.0
OR,2013,9,5332.39
OR,2013,10,8827.42
OR,2013,12,9498.24
OR,2014,2,1469.48
OR,2014,4,10948.51
OR,2014,6,6424.3
OR,2014,9,6038.74
OR,2014,10,10146.79
OR,2014,12,8814.33
OR,2015,2,7758.97
OR,2015,4,12611.96
OR,2015,6,7238.26
PA,2012,9,32946.0
PA,2012,10,52207.34
PA,2012,12,35975.57
PA,2013,2,22544.38
PA,2013,4,60327.05
PA,2013,6,35157.7
PA,2013,9,34091.29
PA,2013,10,49201.4
PA,2013,12,24988.47
PA,2014,2,29272.98
PA,2014,4,52835.49
PA,2014,6,31005.96
PA,2014,9,32120.48
PA,2014,10,51245.82
PA,2014,12,32146.32
PA,2015,2,29795.9
PA,2015,4,62997.92
PA,2015,6,31021.43
RI,2012,9,1014.9
RI,2012,10,2044.59
RI,2012,12,1724.65
RI,2013,4,824.84
RI,2013,6,1692.35
RI,2013,9,1014.9
RI,2013,10,1925.59
RI,2013,12,1588.65
RI,2014,2,316.71
RI,2014,4,2057.34
RI,2014,6,1445.85
RI,2014,9,797.3
RI,2014,10,1945.14
RI,2014,12,1316.65
RI,2015,2,455.94
RI,2015,4,1964.35
RI,2015,6,833.0
SC,2012,9,28606.41
SC,2012,10,31318.76
SC,2012,12,32165.53
SC,2013,2,34690.88
SC,2013,4,16817.93
SC,2013,6,25921.26
SC,2013,9,28724.05
SC,2013,10,31252.46
SC,2013,12,31210.98
SC,2014,2,34568.48
SC,2014,4,29125.93
SC,2014,6,26831.95
SC,2014,9,28436.41
SC,2014,10,32883.61
SC,2014,12,31272.18
SC,2015,2,35669.23
SC,2015,4,23939.91
SC,2015,6,23942.46
SD,2012,9,7780.73
SD,2012,10,10929.64
SD,2012,12,10493.25
SD,2013,2,9222.33
SD,2013,4,11516.14
SD,2013,6,8399.19
SD,2013,9,7605.12
SD,2013,10,10613.61
SD,2013,12,10423.55
SD,2014,2,9300.19
SD,2014,4,12312.42
SD,2014,6,8954.24
SD,2014,9,7785.66
SD,2014,10,11282.22
SD,2014,12,10903.12
SD,2015,2,9659.06
SD,2015,4,12996.33
SD,2015,6,8829.8
TN,2012,9,63640.69
TN,2012,10,76634.13
TN,2012,12,72789.92
TN,2013,2,71809.02
TN,2013,4,67043.07
TN,2013,6,51735.59
TN,2013,9,59670.17
TN,2013,10,74042.65
TN,2013,12,71073.09
TN,2014,2,50258.29
TN,2014,4,66537.15
TN,2014,6,52766.81
TN,2014,9,56414.33
TN,2014,10,75878.31
TN,2014,12,70378.3
TN,2015,2,68329.46
TN,2015,4,70316.25
TN,2015,6,50577.04
TX,2012,9,139698.52
TX,2012,10,181083.15
TX,2012,12,169911.6
TX,2013,2,166899.71
TX,2013,4,188730.26
TX,2013,6,131782.64
TX,2013,9,125720.95
TX,2013,10,178936.73
TX,2013,12,165429.89
TX,2014,2,159442.15
TX,2014,4,184606.4
TX,2014,6,136616.93
TX,2014,9,124473.15
TX,2014,10,182357.3
TX,2014,12,161546.58
TX,2015,2,156110.83
TX,2015,4,186609.85
TX,2015,6,135312.18
UT,2012,9,29054.19
UT,2012,10,40497.4
UT,2012,12,41032.73
UT,2013,2,35269.73
UT,2013,4,28117.49
UT,2013,6,30262.04
UT,2013,9,28975.48
UT,2013,10,39829.64
UT,2013,12,40483.29
UT,2014,2,34196.69
UT,2014,4,23465.1
UT,2014,6,29367.5
UT,2014,9,29969.81
UT,2014,10,40581.72
UT,2014,12,41415.74
UT,2015,2,35305.94
