COUNTY,LAT,LONG,POPULATION,STATE,STATE_ABBREVIATION,ID2
Atchison,40.4811586,-95.6459335,375,Missouri,MO,29005
Athens,39.1898622,-82.23767609999999,8809,Ohio,OH,39105
Atkinson,31.3958235,-83.0253918,747,Georgia,GA,13003
Atlantic,39.3189684,-74.58845759999998,19754,New Jersey,NJ,34001
Atoka,34.2080125,-96.1970111,854,Oklahoma,OK,40005
Attala,32.9924118,-89.7648003,1313,Mississippi,MS,28007
Audrain,39.2717339,-91.9998379,1722,Missouri,MO,29007
Audubon,41.656751799999995,-95.0759309,387,Iowa,IA,19009
Auglaize,40.39188,-84.368259,3930,Ohio,OH,39011
Augusta,38.1480598,-79.44335500000001,3121,Virginia,VA,51015
Aurora,43.724481,-98.7336405,183,South Dakota,SD,46003
Austin,29.9049485,-96.48261690000001,2159,Texas,TX,48015
Autauga,32.4519041,-86.7238215,4130,Alabama,AL,01001
Avery,36.02199279999999,-81.9424253,1273,North Carolina,NC,37011
Avoyelles,30.871118699999997,-92.1755593,2843,Louisiana,LA,22009
Baca,37.2247068,-102.99928309999999,243,Colorado,CO,08009
Bacon,31.545484499999997,-82.4406929,604,Georgia,GA,13005
Bailey,34.1725602,-102.78941,555,Texas,TX,48017
Baker,30.188160399999997,-82.4244906,1866,Florida,FL,12003
Baker,44.455343799999994,-118.22222959999999,959,Oregon,OR,41001
Baldwin,30.2696536,-87.7506265,11590,Alabama,AL,01003
Baldwin,33.0772818,-83.24617090000001,4051,Georgia,GA,13009
Ballard,37.0774079,-89.0503108,418,Kentucky,KY,21007
Baltimore,39.272857200000004,-76.7477406,55376,Maryland,MD,24005
Baltimore (city),39.2842419,-76.6914041,43859,Maryland,MD,24510
Bamberg,33.1820686,-81.1797722,1532,South Carolina,SC,45009
Bandera,29.809429499999997,-99.5402416,1208,Texas,TX,48019
Banks,34.264055600000006,-83.5667878,856,Georgia,GA,13011
Banner,41.589581700000004,-103.7446245,28,Nebraska,NE,31007
Bannock,42.8563381,-112.6298659,6332,Idaho,ID,16077
Baraga,46.547419299999994,-88.6003649,493,Michigan,MI,26013
Barber,37.0705405,-98.78008340000001,308,Kansas,KS,20007
Barbour,31.679443199999998,-85.5577196,1640,Alabama,AL,01005
Barbour,39.033465299999996,-79.96253829999999,1134,West Virginia,WV,54001
Barnes,46.6522316,-98.1952995,775,North Dakota,ND,38003
Barnstable,41.478974,-70.766911,12108,Massachusetts,MA,25007
Barnwell,33.231936600000004,-81.4284035,1766,South Carolina,SC,45011
Barren,36.8513279,-86.05366409999999,2625,Kentucky,KY,21009
Barron,45.4151131,-92.1701067,2892,Wisconsin,WI,55095
Barrow,33.9294718,-83.75842209999999,5034,Georgia,GA,13013
Barry,42.699382899999996,-85.4617777,3486,Michigan,MI,26015
Barry,36.5979506,-94.0249312,2658,Missouri,MO,29009
Bartholomew,39.1588734,-85.99319890000001,5285,Indiana,IN,18005
Barton,38.2721846,-98.97909320000001,2023,Kansas,KS,20009
Barton,37.4806882,-94.5683093,812,Missouri,MO,29011
Bartow,34.0954526,-84.9710741,7164,Georgia,GA,13015
Bastrop,29.8440132,-97.3579956,5152,Texas,TX,48021
Bates,38.0650181,-94.5634681,1263,Missouri,MO,29013
Bath,38.222359000000004,-83.88973990000001,784,Kentucky,KY,21011
Bath,37.9420285,-79.8918061,330,Virginia,VA,51017
Baxter,36.0229505,-92.39063270000001,2067,Arkansas,AR,05005
Bay,30.142185100000003,-85.73267840000001,10948,Florida,FL,12005
Bay,43.9627848,-84.1780165,7027,Michigan,MI,26051
Bayfield,46.319287100000004,-91.343441,709,Wisconsin,WI,55007
Baylor,33.6211472,-99.2437682,212,Texas,TX,48023
Beadle,44.391040999999994,-98.7374541,1102,South Dakota,SD,46059
Bear Lake,42.166115999999995,-111.51117020000001,390,Idaho,ID,16007
Beaufort,35.4479823,-77.0720023,3082,North Carolina,NC,37013
Beaufort,32.214521399999995,-80.8915703,9442,South Carolina,SC,45013
Beauregard,30.6671538,-93.562092,2791,Louisiana,LA,22011
Beaver,36.6086975,-100.7979814,384,Oklahoma,OK,40007
Beaver,40.551694700000006,-80.4878559,10510,Pennsylvania,PA,42007
Beaver,38.1868021,-112.87265249999999,562,Utah,UT,49001
Beaverhead,45.319447700000005,-113.37315729999999,793,Montana,MT,30001
Becker,46.8855255,-96.11612729999999,1874,Minnesota,MN,27005
Beckham,35.1974815,-99.896396,1367,Oklahoma,OK,40009
Bedford,39.802122,-78.75249659999999,3030,Pennsylvania,PA,42009
Bedford,35.606468400000004,-86.58666099999999,3197,Tennessee,TN,47003
Bedford,37.1735553,-79.79638670000001,3544,Virginia,VA,51067
Bedford (city),37.34483770000001,-79.52388409999999,1214,Virginia,VA,51515
Bee,28.1795761,-97.7083927,2131,Texas,TX,48025
Belknap,43.43103060000001,-71.5759983,4121,New Hampshire,NH,33013
Bell,36.6025463,-83.93904429999999,2009,Kentucky,KY,21235
Bell,30.925736199999996,-97.59865,23099,Texas,TX,48027
Belmont,39.987893799999995,-81.17459009999999,4262,Ohio,OH,39013
Beltrami,47.4219773,-95.11812359999999,3801,Minnesota,MN,27007
Ben Hill,31.7364651,-83.2150369,1280,Georgia,GA,13017
Benewah,47.1135986,-116.91003740000001,652,Idaho,ID,16009
Bennett,43.308056,-101.9416148,300,South Dakota,SD,46007
Bennington,42.8205691,-73.274398,2660,Vermont,VT,50003
Benson,48.044158700000004,-99.7729706,514,North Dakota,ND,38005
Bent,37.9457037,-103.15739620000001,260,Colorado,CO,08011
Benton,36.1688141,-94.4548563,14030,Arkansas,AR,05007
Benton,40.466837700000006,-87.473426,699,Indiana,IN,18171
Benton,41.8767817,-92.25690999999999,1792,Iowa,IA,19011
Benton,45.7637555,-94.1820513,2037,Minnesota,MN,27009
Benton,34.6473374,-89.1949715,462,Mississippi,MS,28009
Benton,38.219530799999994,-93.3669589,981,Missouri,MO,29015
Benton,44.3649961,-123.6231522,8275,Oregon,OR,41003
Benton,35.877577200000005,-88.0838948,1046,Tennessee,TN,47005
Benton,45.9419533,-119.6900969,12843,Washington,WA,53005
Benzie,44.6154164,-86.244403,904,Michigan,MI,26019
Bergen,40.786255499999996,-74.1262199,57553,New Jersey,NJ,34003
Berkeley,32.9858773,-80.11543979999999,12001,South Carolina,SC,45035
Berkeley,39.31058839999999,-78.0559477,3897,West Virginia,WV,54003
Berks,40.361787799999995,-76.1373196,31694,Pennsylvania,PA,42011
Berkshire,42.10928,-73.46288620000001,9413,Massachusetts,MA,25003
Bernalillo,35.0891701,-106.8717723,45224,New Mexico,NM,35001
Berrien,31.060719,-83.2186884,1451,Georgia,GA,13019
Berrien,41.781670899999995,-86.72683590000001,11756,Michigan,MI,26021
Bertie,36.0773056,-77.2150252,1427,North Carolina,NC,37015
Bexar,29.2837503,-98.73769329999999,133201,Texas,TX,48029
Bibb,32.9111222,-87.2716811,1520,Alabama,AL,01007
Bibb,32.729663800000004,-83.68533959999999,13157,Georgia,GA,13021
Bienville,32.2244407,-93.11631379999999,1050,Louisiana,LA,22013
Big Horn,45.3358671,-108.5103375,980,Montana,MT,30003
Big Horn,44.7968482,-108.5534879,811,Wyoming,WY,56003
Big Stone,45.5741885,-96.67983659999999,346,Minnesota,MN,27011
Billings,46.95100479999999,-103.54965290000001,24,North Dakota,ND,38007
Bingham,43.020348999999996,-112.8691669,3478,Idaho,ID,16011
Black Hawk,42.3579275,-92.464199,10086,Iowa,IA,19013
