YEAR,STATE_CODE,EXPENSE
2012,1,587268.2365
2012,4,158208.996
2012,5,425622.45
2012,6,1322245.331
2012,8,223021.59
2012,9,139746.4915
2012,10,13726.13
2012,11,22503.69
2012,12,1598011.833
2012,13,556308.4725
2012,16,91774.87
2012,17,762198.5085
2012,18,180888.7575
2012,19,188459.37
2012,20,268038.6995
2012,21,442254.296
2012,22,600141.4925
2012,23,18163.75
2012,24,176070.3725
2012,25,183490.659
2012,26,564899.698
2012,27,459259.0255
2012,28,446715.8575
2012,29,660847.451
2012,30,49007.475
2012,31,220009.845
2012,32,201749.3995
2012,33,37001.1015
2012,34,188886.6705
2012,35,130101.9775
2012,36,500631.956
2012,37,225276.37
2012,38,31745.945
2012,39,636587.127
2012,40,408581.91
2012,41,73755.055
2012,42,229263.5235
2012,44,11442.64
2012,45,216007.671
2012,46,55696.9875
2012,47,645609.712
2012,48,1058247.031
2012,49,284047.995
2012,50,17865.32
2012,51,250559.1165
2012,53,190579.9225
2012,54,124709.8545
2012,55,399807.2925
2012,56,27411.01
